idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
0,9.95567814377261,53.54238345944202,9.9532887,9.9581217,53.5417108,53.5430504,nan,nan,20443.973700826988,dock,nan,9199.788165372145,1856287.2570679644,1153.0,24.688145113497818
1,9.840227984997211,53.541811869439016,9.8392999,9.8411386,53.5412966,53.5423306,nan,nan,10538.235342686996,yes,nan,4742.205904209149,956028.7102885643,1152.0,24.68763068249512
2,9.838490226623035,53.541994532094506,9.8376942,9.8392854,53.5414893,53.542496,nan,nan,8862.452126422897,yes,nan,3988.1034568903037,804001.6569090852,1152.0,24.68779507888506
3,10.117535887708152,53.60525480182801,10.11618,10.1191176,53.6042976,53.6060347,nan,nan,20881.845977821387,retail,nan,9396.830690019624,1892756.6217372026,1151.0,24.74472932164521
4,10.133798340197025,53.62810298772214,10.133661,10.1339423,53.6279225,53.628289,nan,nan,667.4622064095165,yes,nan,300.35799288428245,60447.04606796184,1150.0,24.765292688949927
5,9.879010691798536,53.47335444805128,9.8787387,9.8792828,53.4731393,53.4735694,nan,nan,1491.660229970701,parking,nan,671.2471034868155,135558.35254916237,1154.0,24.626019003246157
6,9.89325871935542,53.4721506883826,9.8927239,9.8936807,53.4719968,53.4723357,nan,nan,1585.4728172905743,retail,nan,713.4627677807584,144083.80595332416,1154.0,24.62493561954434
7,9.884517585807217,53.47772463145941,9.8840145,9.8850103,53.4774533,53.4779789,nan,nan,3288.346010906622,supermarket,nan,1479.7557049079799,298836.66460616654,1154.0,24.629952168313473
8,9.99160967742912,53.45617781224748,9.9913579,9.9918415,53.4557354,53.4566109,nan,nan,1606.7057768385855,train_station,nan,723.0175995773635,146392.98847442667,1157.0,24.610560031022736
9,9.99185344786209,53.45550508582661,9.9916694,9.9920178,53.455335,53.4556763,nan,nan,569.4305146844126,service,nan,256.2437316079857,51882.9495573269,1157.0,24.609954577243947
10,9.855539474702566,53.47446597366692,9.8545498,9.8565515,53.4742271,53.4746656,nan,nan,4805.156170199509,parking,nan,2162.320276589779,436680.57985730586,1154.0,24.627019376300233
11,9.98517206688533,53.56220248796542,9.9835575,9.9868257,53.56122,53.5632292,nan,nan,24124.658577861264,public,nan,10856.096360037569,2190488.8430465804,1153.0,24.705982239168883
12,9.945490329277662,53.559127125955584,9.9452818,9.9457046,53.5590499,53.5592079,nan,nan,272.6152674164623,yes,nan,122.67687033740803,24753.1255123305,1153.0,24.70321441336003
13,9.94306296405268,53.55625350172331,9.9424682,9.9437124,53.5556523,53.5568095,nan,nan,3288.7889565713704,public,nan,1479.9550304571167,298617.9262704847,1153.0,24.70062815155098
14,9.94123685187217,53.55941716979381,9.9407527,9.941663,53.559198,53.5596201,nan,nan,1207.5735148489475,school,nan,543.4080816820264,109646.16568139086,1153.0,24.70347545281443
15,9.972292271429298,53.54680938267356,9.9719432,9.9726263,53.5465866,53.547031,nan,nan,815.6647185571492,public,nan,367.04912335071714,74061.33686409095,1153.0,24.6921284444062
